Question,A,B,C,D,E
11. Выберите исчисляемoе существительнoе: ,A) Magazine.,B) News.,C) Health.,D) Rain.,E) Peace. 
12. Выберите правильное отрицательное предложение: You must forget about it. ,A) You shouldn’t forget about it.,B) You needn’t forget about it.,C) You mustn’t forget about it.,D) You can’t forget about it.,E) You haven’t to forget about it. 
13. Выберите правильный вариант сказуемого: There … someone at the door. ,A) Is,B) Am,C) Are,D) Were,E) Be
"14. Прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: Balzac, the famous French writer, was a man of great talent. But he himself was proud of his ability to tell a person’s character by his or her handwriting. One day a woman brought him a young boy’s exercise-book. She said she wanted to know what Balzac thought of the boy’s character. Balzac studied the boy’s handwriting carefully. Then he said that the boy was a lazy fellow. “It’s very strange,” said the woman smiling. “This is a page from your own exercise-book, which you used when you were a boy.” Balzac … . ",A) Was going by train to France.,B) Was an engineer.,C) Was a man of great talent.,D) Was a famous English writer.,E) Had an exercise-book. 
15. Найдите антоним к слову: “Difficult” ,A) Calm.,B) Clear.,C) Heavy.,D) Hard.,E) Easy. 
16. Дополните предложение: He made a very interesting ... at the conference. ,A) report,B) lesson,C) problem,D) table,E) article
17. Выразите одним словом: A person who travels by plane or by ship is a ... ,A) passenger.,B) customer.,C) businessman.,D) seller.,E) stranger. 
18. Закончите пословицу:  Better late... ,A) ... like the present.,B) ... than never.,C) ... and quick to perform.,D) ... what you can do today.,E) ... before pleasure. 
19. Выберите правильный вариант вопросительного местоимения: By … is this book written? ,A) What.,B) Which.,C) Whose.,D) Whom.,E) Who. 
20. Выберите правильный вспомогательный глагол в предложении: ... you meet her at the station? ,A) Was,B) Will,C) Are,D) Does,E) Have
21. Выберите правильно построенное предложение: ,A) They thought I should work in the garden at that moment.,B) They thought I should have been worked in the garden at that moment.,C) They thought I should be working in the garden at that moment.,D) They thought I should have worked in the garden at that moment.,E) They thought I should worked in the garden at that moment. 
22. Вставьте в предложение глагол в соответствующей форме: Nick used (live) alone.  ,A) live,B) having lived,C) living,D) to live,E) to be living
23. Выделенное слово является Participle 1 в предложении: ,A) I saw a new building in the street.,B) That morning was clear and sunny.,C) I saw a bookshop near the turning.,D) She ate her supper watching a film on TV.,E) The book is very interesting. 
24. Допишите предложение.  The novel “Treasure Island” was written by … ,A) Somerset Maugham.,B) Robert Stevenson.,C) Robert Burns.,D) Alan Marshall.,E) Mark Twain. 
25. Переведите “To be keen on ”  ,A) Находить удовольствие.,B) Обладать хорошим слухом.,"C) Страстно желать, увлекаться чем-либо.",D) Быть честным.,E) Держать на уровне. 
26. Найдите правильный вариант глагола. He… when he fell over and broke his leg. ,A) skies,B) has been skiing,C) skied,D) were skiing,E) was skiing 
27. Найдите правильный вариант глагола. She said she … just … dinner. ,A) had cooked,B) cooks,C) is cooking,D) has cooked,E) cook
28. Выберите правильный перевод предложения в страдательном залоге: Ему показали дорогу. ,A) Him was shown the way.,B) He was shown the way.,C) He was show the way.,D) He was showed the way.,E) He showed the way. 
29. Поставьте предложение в отрицательную форму: David used to work at the factory. ,A) David doesn’t used to work at the factory.,B) David used to didn’t work at the factory.,C) David not used to work at the factory.,D) David don’t used to work at the factory.,E) David didn’t use to work at the factory. 
30. В данном предложении герундий является: Before having dinner you must wash your hands. ,A) дополнением.,B) именной частью сказуемого.,C) обстоятельством.,D) определением.,E) подлежащим. 
 1. Синонимом слова “Famous” является: ,A) Well-known.,B) Clever.,C) Inventive.,D) Unknown.,E) Industrious. 
 2. Выберите правильный вариант артиклей. … first of September is … great holiday in … life of schoolchildren. ,"A) The, a, the.","B) -, -,  -.","C) A, an, a.","D) -, the, -.","E) An, the, -. "
